name,team,round,season,was_home,play_time_category,form_total_points,form_bonus,form_value,form_creativity,form_influence,form_threat,form_selected,form_transfers_balance
sadio mane,LIV,33,2020-2021,True,1,0.3727272727272728,0.0,0.6949152542372881,0.07966226138032306,0.1561811505507956,0.18934911242603553,0.04120101133050822,0.5749664858864423
sadio mane,LIV,35,2020-2021,True,1,0.33333333333333337,0.0,0.6915254237288135,0.15000000000000002,0.11175030599755201,0.3153846153846154,0.04397972830823792,0.5811068273861727
sadio mane,LIV,38,2020-2021,True,1,0.36969696969696975,0.1,0.6864406779661016,0.2314977973568282,0.12362301101591186,0.18402366863905323,0.04956379380011154,0.5803061447459064
sadio mane,LIV,2,2021-2022,True,1,0.4454545454545455,0.3,0.6991525423728813,0.3201174743024964,0.23157894736842102,0.29940828402366865,0.049509946336201864,0.5888300826959415
sadio mane,LIV,3,2021-2022,True,1,0.45151515151515154,0.2,0.7059322033898304,0.2777533039647577,0.2592411260709914,0.41834319526627217,0.04042253979703263,0.5788577791442366
sadio mane,LIV,5,2021-2022,True,1,0.41212121212121217,0.0,0.7059322033898303,0.17569750367107195,0.1697674418604651,0.6000000000000001,0.025729789669301437,0.5676660963744036
sadio mane,LIV,7,2021-2022,True,1,0.37272727272727274,0.0,0.7033898305084745,0.15381791483113072,0.1397796817625459,0.3390532544378698,0.023905164180500038,0.5740314047021102
sadio mane,LIV,10,2021-2022,True,1,0.34545454545454546,0.0,0.7033898305084745,0.048972099853157126,0.11799265605875152,0.1289940828402367,0.026723922382846287,0.5798896289907451
sadio mane,LIV,12,2021-2022,True,1,0.3303030303030303,0.0,0.7033898305084745,0.12643171806167403,0.12582619339045287,0.2698224852071006,0.032504071953569295,0.5814324113869733
sadio mane,LIV,13,2021-2022,True,1,0.42121212121212126,0.26666666666666666,0.7033898305084745,0.155359765051395,0.21236230110159118,0.3076923076923077,0.033549004948957614,0.5776823584699518
sadio mane,LIV,16,2021-2022,True,1,0.3212121212121212,0.06666666666666667,0.7110169491525422,0.11108663729809107,0.08274173806609547,0.22071005917159764,0.04207694051232731,0.5753525984074862
sadio mane,LIV,17,2021-2022,True,1,0.296969696969697,0.0,0.7084745762711864,0.13590308370044055,0.05973072215422276,0.32189349112426036,0.04023528419773123,0.5717616814057497
sadio mane,LIV,26,2021-2022,True,1,0.32121212121212117,0.0,0.6923728813559321,0.1380323054331865,0.11297429620563035,0.26804733727810653,0.025588001783227645,0.5740333717186636
sadio mane,LIV,26,2021-2022,True,1,0.3666666666666667,0.0,0.6889830508474576,0.14045521292217328,0.16988984088127296,0.291715976331361,0.02920410943808293,0.5838074983526236
sadio mane,LIV,28,2021-2022,True,1,0.5424242424242425,0.4,0.6872881355932203,0.2799559471365639,0.31321909424724603,0.27988165680473376,0.03267373320710486,0.5911017730088554
sadio mane,LIV,33,2021-2022,True,1,0.33333333333333337,0.0,0.6864406779661016,0.0486784140969163,0.09938800489596084,0.12485207100591716,0.03468716919290582,0.5781001143007662
sadio mane,LIV,34,2021-2022,True,1,0.4484848484848485,0.26666666666666666,0.6864406779661016,0.09082232011747432,0.19999999999999996,0.16390532544378697,0.03233176006905832,0.5747320474461497
sadio mane,LIV,36,2021-2022,True,1,0.3545454545454545,0.13333333333333333,0.6864406779661016,0.05198237885462556,0.08812729498164014,0.15621301775147928,0.03493171598927392,0.5797925823805775
sadio mane,LIV,38,2021-2022,True,1,0.33333333333333337,0.0,0.6923728813559322,0.12033773861967695,0.105140758873929,0.20118343195266272,0.03865548726528349,0.5789028494800448
said benrahma,WHU,13,2020-2021,True,1,0.2818181818181818,0.0,0.20338983050847453,0.09236417033773864,0.04394124847001224,0.12366863905325443,0.0016905286067782684,0.5758295143992025
said benrahma,WHU,19,2020-2021,True,1,0.2696969696969697,0.0,0.20338983050847453,0.050367107195301034,0.038678090575275395,0.08284023668639053,0.0021917170077840895,0.5754306590317917
said benrahma,WHU,19,2020-2021,True,1,0.28484848484848485,0.0,0.20338983050847453,0.05374449339207049,0.0452876376988984,0.07455621301775148,0.001937663420791633,0.5755200300012785
said benrahma,WHU,21,2020-2021,True,1,0.2818181818181818,0.0,0.20338983050847453,0.14691629955947139,0.07307221542227663,0.15207100591715977,0.0016893702601709095,0.5757961820208699
said benrahma,WHU,27,2020-2021,True,1,0.2606060606060606,0.0,0.20338983050847453,0.02650513950073422,0.03182374541003672,0.005917159763313609,0.0016798425984365034,0.575596316034563
said benrahma,WHU,29,2020-2021,True,1,0.2606060606060606,0.0,0.20338983050847453,0.03340675477239354,0.0230110159118727,0.042011834319526625,0.0015509843650340451,0.5757649021815496
said benrahma,WHU,35,2020-2021,True,1,0.3151515151515152,0.26666666666666666,0.19576271186440675,0.1934654919236417,0.0671970624235006,0.0727810650887574,0.0014671138093282172,0.5757817287253262
said benrahma,WHU,2,2021-2022,True,1,0.42121212121212126,0.3333333333333333,0.1983050847457627,0.09625550660792953,0.1966952264381885,0.16863905325443787,0.01919159094627943,0.5767995101273558
said benrahma,WHU,3,2021-2022,True,1,0.4878787878787879,0.4666666666666667,0.20423728813559316,0.1394273127753304,0.2574051407588739,0.18994082840236687,0.050063239463428805,0.6012005215159539
said benrahma,WHU,5,2021-2022,True,1,0.3757575757575758,0.2,0.22627118644067795,0.19008810572687226,0.14908200734394125,0.1390532544378698,0.1941018869153167,0.6916756287076657
said benrahma,WHU,7,2021-2022,True,1,0.36363636363636365,0.43333333333333335,0.23983050847457626,0.2022026431718062,0.1391676866585067,0.13727810650887573,0.2712411861302291,0.6445889940292495
said benrahma,WHU,9,2021-2022,True,1,0.3151515151515151,0.16666666666666669,0.2508474576271186,0.15572687224669607,0.08261933904528763,0.17633136094674556,0.31014374559619584,0.5969645727490381
said benrahma,WHU,11,2021-2022,True,1,0.3242424242424242,0.0,0.25084745762711863,0.10785609397944201,0.07392900856793147,0.157396449704142,0.3030733126959797,0.5537593962456495
said benrahma,WHU,14,2021-2022,True,1,0.2696969696969697,0.0,0.2347457627118644,0.06395007342143906,0.042839657282741736,0.058579881656804736,0.2569941594285657,0.5356827920688182
said benrahma,WHU,19,2021-2022,True,1,0.2666666666666667,0.0,0.2067796610169491,0.046696035242290754,0.01566707466340269,0.1272189349112426,0.1817659025335858,0.5405710420099146
said benrahma,WHU,24,2021-2022,True,1,0.40303030303030307,0.09999999999999999,0.19576271186440675,0.11982378854625553,0.16511627906976745,0.14082840236686392,0.15900482999228605,0.5860597964479957
said benrahma,WHU,26,2021-2022,True,1,0.29393939393939394,0.03333333333333333,0.19491525423728812,0.04581497797356829,0.05605875152998776,0.15798816568047336,0.1288102820271358,0.5802612454550158
