hometeam,awayteam,date,season,round,gf,ga,h_xg,h_xga,h_standard sot,h_kp,h_xa,h_poss_x,h_touches att pen,h_carries prgdist,h_progressive passing dist,h_tackles tklw,h_challenges tkl%,h_saves,a_xg,a_xga,a_standard sot,a_kp,a_xa,a_poss_x,a_touches att pen,a_carries prgdist,a_progressive passing dist,a_tackles tklw,a_challenges tkl%,a_saves,b365h,b365d,b365a,result_A,result_D,result_H,h_strength_overall_home,h_overall_rating,h_attack_rating,h_midfield_rating,h_defence_rating,h_avg_age,a_strength_overall_away,a_overall_rating,a_attack_rating,a_midfield_rating,a_defence_rating,a_avg_age,soh,soa
CRY,WOL,2021-11-06,2021-2022,11,2.0,0.0,0.2714285714285714,0.0428571428571428,0.375,0.3666666666666666,0.2972972972972973,0.65625,0.2526315789473684,0.4148533585619678,0.5126737530662305,0.5185185185185185,0.5910000000000001,0.1538461538461538,0.0428571428571428,0.2714285714285714,0.125,0.0666666666666666,0.081081081081081,0.34375,0.1894736842105263,0.1877956480605487,0.2856364131916052,0.7407407407407407,0.3,0.3076923076923077,0.0774804905239687,0.0392156862745098,0.0667623833452979,False,False,True,0.2535211267605635,0.25,0.3333333333333335,0.3125,0.2666666666666666,0.6121045392022006,0.4057971014492754,0.41666666666666696,0.38888888888888884,0.5625,0.4666666666666668,0.7881705639614855,0.3807534616690337,0.3420376903602764
MUN,MCI,2021-11-06,2021-2022,11,0.0,2.0,0.1285714285714285,0.2285714285714285,0.0625,0.1,0.027027027027027,0.234375,0.0421052631578947,0.1877956480605487,0.2398473698555464,0.4074074074074074,0.421,0.3076923076923077,0.2285714285714285,0.1285714285714285,0.3125,0.4333333333333333,0.4054054054054054,0.765625,0.3157894736842105,0.5491958372753075,0.828018533660398,0.2222222222222222,0.6,0.0769230769230769,0.2056856187290969,0.1176470588235294,0.0201005025125628,True,False,False,0.591549295774648,0.833333333333333,0.6111111111111112,0.75,0.666666666666667,0.5749656121045392,0.9855072463768115,1.0,0.7222222222222219,1.0,1.0,0.5625859697386519,0.26591323178166737,0.28774668761948763
ARS,WAT,2021-11-07,2021-2022,11,1.0,0.0,0.2285714285714285,0.0714285714285714,0.3125,0.2666666666666666,0.2972972972972973,0.65625,0.2736842105263158,0.6054872280037843,0.5159443990188062,0.4444444444444444,0.529,0.0769230769230769,0.0714285714285714,0.2285714285714285,0.0625,0.2,0.027027027027027,0.34375,0.1368421052631579,0.1816461684011353,0.276369582992641,0.3703703703703703,0.375,0.3076923076923077,0.0167224080267558,0.1911764705882353,0.2641780330222541,False,False,True,0.704225352112676,0.583333333333333,0.3333333333333335,0.5625,0.39999999999999947,0.11279229711141658,0.0,0.08333333333333304,0.16666666666666652,0.25,0.20000000000000018,0.887207702888583,0.4154525129115786,0.22793988327643566
EVE,TOT,2021-11-07,2021-2022,11,0.0,0.0,0.0857142857142857,0.0999999999999999,0.125,0.2666666666666666,0.1891891891891892,0.421875,0.2105263157894736,0.2691579943235572,0.3605887162714636,0.4814814814814814,0.389,0.0,0.0999999999999999,0.0857142857142857,0.0,0.2333333333333333,0.081081081081081,0.578125,0.1789473684210526,0.4115421002838221,0.5208503679476697,0.3703703703703703,0.381,0.1538461538461538,0.1137123745819397,0.0441176470588235,0.0441493180186647,False,True,False,0.14084507042253502,0.41666666666666696,0.38888888888888884,0.4375,0.39999999999999947,0.5130674002751032,0.6956521739130435,0.666666666666667,0.6666666666666665,0.625,0.4666666666666668,0.4745529573590095,0.332923872408896,0.1836509054679828
LEE,LEI,2021-11-07,2021-2022,11,1.0,1.0,0.1857142857142857,0.0999999999999999,0.3125,0.3666666666666666,0.1351351351351351,0.59375,0.2736842105263158,0.2904446546830653,0.4949577541564458,0.3333333333333333,0.583,0.1538461538461538,0.0999999999999999,0.1857142857142857,0.1875,0.1666666666666666,0.081081081081081,0.40625,0.1789473684210526,0.1958372753074739,0.3439629326792041,0.6666666666666666,0.633,0.3076923076923077,0.0969899665551839,0.0686274509803921,0.0470208183776023,False,True,False,0.19718309859154903,0.25,0.3333333333333335,0.375,0.2666666666666666,0.5502063273727646,0.49275362318840576,0.583333333333333,0.5000000000000004,0.5625,0.4666666666666668,0.2874828060522696,0.39785640677448597,0.3190922599100474
WHU,LIV,2021-11-07,2021-2022,11,3.0,2.0,0.1428571428571428,0.1714285714285714,0.1875,0.2,0.1621621621621621,0.203125,0.1263157894736842,0.1972563859981078,0.2624693376941945,0.1111111111111111,0.3329999999999999,0.2307692307692307,0.1714285714285714,0.1428571428571428,0.3125,0.4333333333333333,0.3783783783783784,0.796875,0.4631578947368421,0.5912961210974456,0.717361678931589,0.1481481481481481,0.25,0.0769230769230769,0.2056856187290969,0.1176470588235294,0.0201005025125628,False,False,True,0.3661971830985915,0.5,0.5000000000000004,0.5,0.39999999999999947,0.8005502063273728,0.956521739130435,1.0,0.8333333333333335,0.8125,0.9333333333333336,0.7881705639614855,0.2523668716314893,0.27544688735577116
AVL,BHA,2021-11-20,2021-2022,12,2.0,0.0,0.0999999999999999,0.0571428571428571,0.3125,0.2,0.1081081081081081,0.3125,0.2421052631578947,0.2360454115421003,0.2692831834287271,0.3703703703703703,0.37,0.1538461538461538,0.0571428571428571,0.0999999999999999,0.125,0.1333333333333333,0.054054054054054,0.6875,0.1157894736842105,0.3055818353831598,0.6492232215862632,0.4074074074074074,0.429,0.2307692307692307,0.0774804905239687,0.0490196078431372,0.063173007896626,False,False,True,0.2816901408450705,0.41666666666666696,0.4444444444444442,0.4375,0.5333333333333332,0.4745529573590095,0.17391304347826075,0.25,0.22222222222222188,0.125,0.39999999999999947,0.38789546079779935,0.25735472841993634,0.272907641220017
BUR,CRY,2021-11-20,2021-2022,12,3.0,3.0,0.2142857142857142,0.2714285714285714,0.5625,0.3,0.2162162162162162,0.34375,0.1999999999999999,0.0719016083254494,0.2949032433905696,0.4074074074074074,0.5710000000000001,0.3846153846153846,0.2714285714285714,0.2142857142857142,0.5,0.4666666666666667,0.4324324324324324,0.65625,0.2947368421052631,0.39120151371807,0.4300899427636958,0.074074074074074,0.444,0.4615384615384615,0.0914158305462653,0.0392156862745098,0.0559942569992821,False,True,False,0.16901408450704203,0.25,0.3333333333333335,0.25,0.33333333333333304,0.5997248968363134,0.2028985507246377,0.25,0.3333333333333335,0.3125,0.2666666666666666,0.6121045392022006,0.25638447677723797,0.3886871878823486
LEI,CHE,2021-11-20,2021-2022,12,0.0,3.0,0.0571428571428571,0.2857142857142857,0.1875,0.1,0.054054054054054,0.328125,0.0421052631578947,0.216650898770104,0.2709185064050149,0.3333333333333333,0.35,0.3076923076923077,0.2857142857142857,0.0571428571428571,0.4375,0.4,0.2432432432432432,0.671875,0.2105263157894736,0.3878902554399243,0.6683019896429545,0.4814814814814814,0.5,0.2307692307692307,0.2056856187290969,0.0931372549019607,0.0218951902368987,True,False,False,0.2535211267605635,0.583333333333333,0.5000000000000004,0.5625,0.4666666666666668,0.2874828060522696,0.8405797101449277,0.916666666666667,0.7222222222222219,0.875,0.7999999999999998,0.7372764786795045,0.4025429431770017,0.2590991237651954
LIV,ARS,2021-11-20,2021-2022,12,4.0,0.0,0.6142857142857142,0.0571428571428571,0.5625,0.4333333333333333,0.5405405405405406,0.6875,0.4210526315789473,0.3755912961210974,0.6832924502589262,0.2962962962962963,0.4,0.2307692307692307,0.0571428571428571,0.6142857142857142,0.1875,0.1666666666666666,0.081081081081081,0.3125,0.0526315789473684,0.1452223273415326,0.4129190515126737,0.2222222222222222,0.625,0.3846153846153846,0.0217391304347825,0.1911764705882353,0.1923905240488155,False,False,True,0.9577464788732395,1.0,0.8333333333333335,0.8125,0.9333333333333336,0.7881705639614855,0.6956521739130435,0.583333333333333,0.3333333333333335,0.5625,0.39999999999999947,0.11279229711141658,0.22485632039597525,0.40607403646969686
