hometeam,awayteam,date,season,round,gf,ga,h_form_gf,h_form_ga,h_form_xg,h_form_xga,h_form_standard sot,h_form_kp,h_form_xa,h_form_poss_x,h_form_touches att pen,h_form_carries prgdist,h_form_progressive passing dist,h_form_tackles tklw,h_form_challenges tkl%,h_form_saves,a_form_gf,a_form_ga,a_form_xg,a_form_xga,a_form_standard sot,a_form_kp,a_form_xa,a_form_poss_x,a_form_touches att pen,a_form_carries prgdist,a_form_progressive passing dist,a_form_tackles tklw,a_form_challenges tkl%,a_form_saves,b365h,b365d,b365a,result_A,result_D,result_H
NFO,BOU,2023-12-23,2023-2024,18,2.0,3.0,-0.19544588491477582,0.11158183247861742,0.043429163849908956,-0.14932493323735915,-0.27656065870795077,0.0005369927901523825,-0.024996597151415993,-0.3756358711960667,0.2809650975787428,-0.31747539169003625,-0.1018138088872087,0.9614708332110539,0.5883252784468646,-0.2993453385077846,0.26509569117531395,0.4186095498720107,0.18799473666536012,0.04342916384990876,0.1267051082649388,0.1745226567994737,0.27221064971312703,-0.5634296563587652,-0.024032095457070135,-0.22898889232633118,-0.12477180220744141,-0.34971773203783313,-0.5816897763997024,-0.09833416819374899,2.75,3.4,2.55,True,False,False
NFO,MUN,2023-12-30,2023-2024,20,2.0,1.0,-0.19544588491477582,0.26509569117531406,-0.4143618167323527,-0.17341919537326764,-0.5991732722862625,-0.08645583921450828,-0.21075112644175542,-0.7355739594245723,0.10155498402826457,-0.5666490310025554,-0.39286191775338414,1.2892679745232756,0.870192541659901,-0.1988397533507668,-0.5024736023081691,-0.6559874610048656,-0.43845607886826105,0.5494086687039872,-0.6798264256808405,-0.7389020792494634,-0.6194110908805023,-0.1095946755489103,-0.25726524307269194,-0.2338746499599101,-0.24733786332029636,-0.021920590725611377,0.3463448921035972,0.7057105130623934,3.2,3.6,2.15,False,False,True
NFO,ARS,2024-01-30,2023-2024,22,1.0,2.0,-0.19544588491477582,0.4186095498720106,-0.3420790303246271,-0.2697962439169016,-0.6798264256808404,0.0005369927901523796,-0.13644931472561966,-0.46953276377741593,0.1733190294484559,-0.4287620933437757,-0.23511828623049516,1.2346351176379051,0.743884098238965,-0.098334168193749,-0.04193202621807919,-0.04193202621807927,0.11571195025763485,-0.6312101759555293,-0.03460119852421699,0.39200473681112535,0.49511608486153424,0.7511268397801248,0.7474313928099862,0.16078599444140002,0.24181551048659644,0.14197797993049938,0.31709451573243297,-0.701367679135856,7.5,5.0,1.4,True,False,False
NFO,NEW,2024-02-10,2023-2024,24,2.0,3.0,-0.3489597436114724,0.265095691175314,-0.679398700227346,-0.2938905060528102,-0.7604795790754182,-0.3909307512308206,-0.5451092791643664,-0.7825224057152469,-0.32902928849288304,-0.79302246802504,-0.6298476552525601,1.2892679745232756,0.7133041593054751,-0.19883975335076684,-0.19544588491477577,0.8791511259621003,0.18799473666536018,2.380572591033034,-0.43786696549710663,-0.173448671219169,0.27221064971312703,-0.01569778296756108,-0.05991411816716585,-0.1584168376190818,-0.0792261057818184,0.36050940747198074,-0.34768676543038907,1.208238438847483,3.3,3.75,2.05,True,False,False
NFO,WHU,2024-02-17,2023-2024,25,2.0,0.0,-0.04193202621807922,0.5721234085687072,-0.48664460314007807,-0.34207903032462716,-0.6798264256808404,-0.3909307512308206,-0.47080746744823065,-1.1268110118468608,-0.40079333391307426,-0.7723937135721517,-1.1227039312078775,0.9614708332110539,0.8409421652887369,-0.098334168193749,-0.1954458849147758,0.5721234085687071,0.3807488337526279,0.7180685036553471,-0.19590750531337292,-0.43442716723315095,-0.6194110908805022,-1.0642130834592949,-0.5263804133984091,-0.5699062027582744,-0.8279529201932775,0.1966108368158695,0.19743388512312524,0.7057105130623935,2.38,3.5,2.9,False,False,True
NFO,LIV,2024-03-02,2023-2024,27,0.0,1.0,0.265095691175314,0.265095691175314,-0.12523067110145059,-0.5830216516837122,-0.115254351918795,-0.26044150322382964,-0.35935474987402694,-0.8920687803934879,-0.29314726578278744,-0.5986778866004608,-0.932374760778852,0.25124369370124,0.810362226355247,-0.1988397533507668,0.8791511259621003,-0.34895974361147236,0.16390047452945153,0.47712588229626185,0.5299708752378284,0.5224939848181163,0.3093615555711947,1.1423638922024137,0.37067015435398165,0.48813175589117996,0.9168545721444055,0.25124369370124006,-0.10570637908712177,-0.19883975335076678,6.0,4.33,1.53,True,False,False
NFO,CRY,2024-03-30,2023-2024,30,1.0,1.0,-0.04193202621807921,-0.04193202621807922,-0.12523067110145056,-0.48664460314007824,-0.2765606587079508,-0.39093075123082055,-0.47080746744823054,-0.9390172266841624,-0.4546163679782177,-0.6350496378726586,-1.067900979411193,-0.021920590725611398,0.810362226355247,-0.5003565088218203,-0.5024736023081691,1.1861788433554934,-1.0408126322659736,0.9349168628785233,-0.1959075053133729,-0.6084128312424723,-1.1023728670353847,-1.2520068686219932,-0.8672596291443178,-1.1084252663705163,-1.2186090968520755,-0.021920590725611568,0.2359911994305688,-0.3998509236648024,2.2,3.3,3.4,False,True,False
NFO,FUL,2024-04-02,2023-2024,31,3.0,1.0,-0.19544588491477582,-0.04193202621807922,-0.07704214682963353,-0.39026755459644424,-0.0346011985242171,-0.30393791922616,-0.17360022058368757,-0.7042749952307893,-0.3469702998479309,-0.3831616887637069,-0.8386913364237089,-0.4043505889232034,0.8422717278510625,-0.701367679135856,0.11158183247861739,0.265095691175314,0.09161768812172615,0.33256030948081095,0.7719303354215621,0.8704653128367591,0.38366336728733064,0.2972918589702699,0.5680212792595078,0.09835686912344874,0.43955048521247136,0.41514226435735074,-0.07778556527828334,-0.09833416819374907,2.7,3.4,2.63,False,False,True
NFO,WOL,2024-04-13,2023-2024,33,2.0,2.0,0.11158183247861739,-0.19544588491477582,0.1639004745294515,-0.31798476818871874,0.04605195487036081,0.0005369927901523796,-0.17360022058368754,-0.5947286205525483,-0.2213832203625961,-0.2018457943620045,-0.5217229125185611,-0.40435058892320336,0.7039972213691955,-0.600862093978838,-0.04193202621807936,0.26509569117531406,-0.00475936042190781,0.1639004745294513,-0.03460119852421717,-0.17344867121916904,-0.6565619967385701,-0.4382337995836328,-0.25726524307269194,-0.06124454690679219,-0.9220066347632629,0.1966108368158696,-0.06847862734200386,0.10267700212028683,2.1,3.4,3.5,False,True,False
NFO,MCI,2024-04-28,2023-2024,35,0.0,2.0,0.11158183247861739,-0.34895974361147236,0.2602775230730855,-0.1975134575091762,0.5299708752378283,0.08752982479481304,-0.17360022058368754,-0.48518224587430747,0.02979093860807338,-0.37176158761868966,-0.2677038251366319,-0.3497177320378331,0.40750476997057683,-0.701367679135856,0.8791511259621002,-0.5024736023081691,0.3807488337526282,-0.17341919537326778,1.5784618693673411,0.47899756881578615,0.3093615555711949,1.0954154459117391,0.7115493700998904,1.4305401172126033,1.211235292944163,-0.3497177320378332,-0.056512564281073055,0.0021714169632688573,8.0,6.0,1.3,True,False,False
